"s1","TV Show","Random Title 1","Sarah Brown","Angelina Jolie &  Tom Hanks","Australia","2022-08-17",2020,"TV-PG","1 Seasons","Drama","A random drama story about random title 1.
"
"s2","Movie","Random Title 2","John Doe","Tom Hanks & Scarlett Johansson","USA","2024-05-08",2021,"PG-13","139 min","Science Fiction","A random science fiction story about random title 2.
"
"s3","Movie","Random Title 3","Jane Smith","Chris Hemsworth & Tom Hanks","Canada","2021-07-26",2025,"PG-13","148 min","Fantasy","A random fantasy story about random title 3.
"
"s4","TV Show","Random Title 4","Sarah Brown","Angelina Jolie & Tom Hanks","USA","2021-03-15",2024,"PG","4 Seasons","Science Fiction","A random science fiction story about random title 4.
"
"s5","Movie","Random Title 5","Jane Smith","Emily Blunt & Angelina Jolie","Australia","2023-02-08",2021,"TV-14","138 min","Action","A random action story about random title 5.
"
"s6","Movie","Random Title 6","Michael Lee","Scarlett Johansson & Chris Hemsworth","Canada","2024-05-19",2024,"PG","148 min","Science Fiction","A random science fiction story about random title 6.
"
"s7","TV Show","Random Title 7","Michael Lee","Tom Hanks & Scarlett Johansson","UK","2023-07-30",2023,"PG","1 Seasons","Drama","A random drama story about random title 7.
"
"s8","TV Show","Random Title 8","John Doe","Tom Hanks & Scarlett Johansson","UK","2023-07-14",2022,"PG-13","5 Seasons","Action","A random action story about random title 8.
"
"s9","Movie","Random Title 9","Robert Green","Scarlett Johansson & Brad Pitt","France","2023-08-28",2023,"PG-13","130 min","Drama","A random drama story about random title 9.
"
"s10","TV Show","Random Title 10","Michael Lee","Tom Hanks & Brad Pitt","USA","2022-09-19",2025,"R","2 Seasons","Science Fiction","A random science fiction story about random title 10.
"
"s11","TV Show","Random Title 11","Robert Green","Tom Hanks & Chris Hemsworth","UK","2022-07-31",2025,"TV-PG","3 Seasons","Science Fiction","A random science fiction story about random title 11.
"
